id,tieu_de,chu_de_NMF,chu_de_LDA
Bài 1,001_Hoạt động dịch vụ chuyển giao công nghệ nhằm hỗ trợ doanh nghiệp nhỏ và vừa Kinh nghiệm quốc tế và một số khuy.docx,NMF-1,LDA-6
Bài 2,001_Thực trạng và giải pháp chuyển giao công nghệ tại Việt Nam.docx,NMF-1,LDA-6
Bài 3,002_Thực trạng và giải pháp chuyển giao công nghệ ở Việt Nam.docx,NMF-1,LDA-6
Bài 4,003_Mất cân đối trong chuyển giao công nghệ tại Việt Nam.docx,NMF-5,LDA-6
Bài 5,004_Thực trạng chuyển giao công nghệ tại Việt Nam.docx,NMF-1,LDA-6
Bài 6,005_Chuyển giao công nghệ – Đảm bảo tài sản trí tuệ cho doanh nghiệp sáng tạo.docx,NMF-1,LDA-6
Bài 7,006_Bất cập trong chuyển giao công nghệ của doanh nghiệp FDI.docx,NMF-1,LDA-6
Bài 8,007_Luật Chuyển giao công nghệ 2025 Mở rộng không gian phát triển.docx,NMF-1,LDA-6
Bài 9,008_Chuyển giao công nghệ Những vấn đề từ thực tiễn và vai trò của cơ quan quản lý nhà nước ở địa phương.docx,NMF-1,LDA-6
Bài 10,009_Chuyển giao công nghệ Từ giao dịch sang tạo giá trị thực tiễn.docx,NMF-2,LDA-6
Bài 11,"010_Tọa đàm khoa học Hoạt động chuyển giao công nghệ, đo lường tác động của khoa học, công nghệ, đổi mới sáng tạo.docx",NMF-2,LDA-2
Bài 12,011_Khoa học và công nghệ.docx,NMF-2,LDA-2
Bài 13,012_Một số kinh nghiệm trong chuyển giao công nghệ quốc tế và mô hình Đại học Quốc gia Thành phố Hồ Chí Minh.docx,NMF-1,LDA-6
Bài 14,013_Hình thành hệ sinh thái đổi mới sáng tạo trong lĩnh vực AI.docx,NMF-7,LDA-7
Bài 15,014_AI tái định hình ngành bán dẫn Việt Nam Xương sống công nghệ kỷ nguyên số.docx,NMF-5,LDA-7
Bài 16,"015_Công bố 10 nhóm công nghệ chiến lược, AI và bán dẫn được ưu tiên.docx",NMF-7,LDA-4
Bài 17,016_Việt Nam chủ động phát triển AI và bán dẫn trong kỷ nguyên mới.docx,NMF-5,LDA-7
Bài 18,"017_Ứng dụng công nghệ AI trong sản xuất lúa phát thải thấp, tạo tín chỉ Carbon.docx",NMF-3,LDA-6
Bài 19,018_Ứng dụng công nghệ trí tuệ nhân tạo (AI) trong nâng cao năng suất nông nghiệp.docx,NMF-3,LDA-7
Bài 20,"019_Ứng dụng khoa học, công nghệ để chuyển đổi mô hình tăng trưởng của ngành nông nghiệp và môi trường.docx",NMF-3,LDA-6
Bài 21,020_Ứng dụng công nghệ AI trong nâng cao năng suất nông nghiệp.docx,NMF-3,LDA-7
Bài 22,021_Chuyển đổi các ngành công nghiệp bằng AI Bài học từ Trung Quốc.docx,NMF-4,LDA-2
Bài 23,"022_AI bùng nổ, ngành công nghệ thông tin có còn hấp dẫn.docx",NMF-4,LDA-2
Bài 24,023_Ngành cơ khí đẩy mạnh ứng dụng khoa học công nghệ và chuyển đổi số.docx,NMF-4,LDA-1
Bài 25,024_Chuyển giao công nghệ gắn với bảo vệ và phát triển tài sản trí tuệ ở Việt Nam.docx,NMF-2,LDA-6
Bài 26,025_Trí tuệ Nhân tạo (AI) trong ngành công nghiệp năng lượng.docx,NMF-4,LDA-1
Bài 27,026_Tổng quan phát triển ứng dụng AI trong ngành điện hạt nhân và các khuyến nghị cho Việt Nam.docx,NMF-4,LDA-1
Bài 28,HDCG_A01_Đánh giá thực trạng quy định pháp luật Việt Nam về hợp đồng chuyển giao công nghệ.docx,NMF-6,LDA-5
Bài 29,HDCG_A09_Học thuyết điều kiện thiết yếu và nghĩa vụ chuyển giao quyền sở hữu trí tuệ theo quy định của pháp luật cạnh tranh.docx,NMF-6,LDA-3
Bài 30,HDCG_A10_Dịch vụ chuyển giao công nghệ theo pháp luật Việt Nam hiện nay.docx,NMF-1,LDA-6
Bài 31,HDCG_A14_Hoàn thiện chính sách và pháp luật về chuyển giao công nghệ.docx,NMF-1,LDA-6
Bài 32,"HDCG_A15_Một số nội dung cần sửa đổi, bổ sung của Luật Chuyển giao công nghệ năm 2006.docx",NMF-1,LDA-6
Bài 33,HDCG_A16_Hợp đồng chuyển giao công nghệ – Khi chủ động là chìa khóa cho doanh nghiệp Việt.docx,NMF-6,LDA-5
Bài 34,"minh-dangthu,+Section+editor,+B8-V.docx",NMF-1,LDA-5
